age,income,credit_score,loan_amount,years_employed,education,employment_status,marital_status,housing_type,application_date,target
75.0,72817.58,527.0,9665.74,21.2,Bachelor,Employed,Married,Mortgage,2025-08-12,1
34.0,75717.91,358.0,5720.71,37.2,High School,Employed,Married,Mortgage,2025-08-22,0
19.0,48225.15,671.0,17057.81,5.1,Master,Retired,Married,Own,2024-01-01,1
34.0,,500.0,1840.65,19.8,High School,Self-Employed,Married,Rent,2025-02-09,0
62.0,81199.19,440.0,8594.71,25.7,PhD,Self-Employed,Divorced,Rent,2025-05-09,0
54.0,45790.76,749.0,802.83,29.1,High School,Employed,Married,Other,2024-01-07,0
38.0,78672.94,715.0,7739.52,37.6,High School,Employed,Single,Other,2023-01-08,0
26.0,,835.0,4496.93,10.0,,Retired,Married,Rent,2023-06-05,1
39.0,58667.25,744.0,18834.0,6.9,High School,Self-Employed,Married,Mortgage,2024-06-29,1
40.0,15846.31,514.0,1914.55,35.4,Bachelor,Employed,Married,Own,2025-03-18,0
50.0,51531.93,826.0,3114.3,29.3,High School,Retired,Married,Own,2024-04-30,1
30.0,64097.72,610.0,4261.21,1.0,Bachelor,Employed,Single,Own,2024-08-07,0
36.0,48571.32,589.0,207.34,23.8,High School,Retired,Married,Rent,2025-02-24,0
22.0,,417.0,1094.56,16.9,Bachelor,Self-Employed,Divorced,Rent,2024-07-24,0
52.0,39259.16,307.0,1295.34,3.0,Bachelor,Retired,Married,Other,2024-04-22,1
69.0,68227.33,718.0,4887.71,14.1,High School,Employed,Single,Own,2024-08-05,1
25.0,30031.55,474.0,916.21,21.1,Bachelor,Employed,Single,Mortgage,2025-07-31,1
54.0,64554.48,464.0,6183.49,0.7,High School,Self-Employed,Married,Other,2024-11-28,1
34.0,41787.64,352.0,10731.86,15.0,High School,Retired,Married,Own,2025-04-12,0
33.0,24423.7,696.0,6623.16,8.6,Bachelor,Employed,Married,Mortgage,2024-06-18,1
59.0,50714.05,348.0,2987.17,7.6,High School,Employed,Divorced,Rent,2024-08-10,0
67.0,18176.66,823.0,5341.41,25.3,Bachelor,Employed,Divorced,Mortgage,2024-12-15,1
22.0,63921.47,502.0,17653.39,9.3,PhD,Employed,Married,Rent,2024-03-27,1
21.0,59272.11,813.0,4227.86,11.9,High School,Retired,Married,Own,2024-04-01,0
47.0,58066.49,487.0,15972.49,7.8,Bachelor,Employed,Married,Rent,2023-08-17,1
62.0,81199.19,440.0,8594.71,25.7,PhD,Self-Employed,Divorced,Rent,2025-05-09,0
52.0,61293.14,846.0,4707.1,36.5,Bachelor,Employed,Widowed,Rent,2025-01-19,1
76.0,24808.11,437.0,2400.27,34.3,Bachelor,Employed,Widowed,Rent,2023-08-01,1
25.0,47041.67,796.0,2821.08,22.6,Bachelor,Employed,Widowed,Own,2023-03-21,1
22.0,85848.17,369.0,3425.31,0.3,Bachelor,Employed,Divorced,Own,2023-05-29,1
72.0,60332.57,512.0,13476.94,11.2,High School,Employed,Married,Mortgage,2023-10-30,0
69.0,47869.42,408.0,5208.96,30.6,Master,Employed,Married,Other,2024-10-27,1
77.0,59260.85,403.0,5961.74,5.7,Bachelor,Employed,Divorced,Own,2023-11-25,0
36.0,25313.35,464.0,158.68,0.9,PhD,Self-Employed,Single,Mortgage,2024-10-31,1
57.0,43636.77,843.0,9603.71,16.5,Master,Retired,Single,Rent,2023-12-11,1
19.0,13173.12,816.0,8089.79,24.7,Bachelor,Self-Employed,Divorced,Mortgage,2024-12-12,1
34.0,58340.85,561.0,7180.24,4.3,High School,Retired,Widowed,Rent,2024-05-22,0
24.0,37778.24,530.0,10107.18,12.5,Bachelor,Self-Employed,Married,Own,2023-05-14,1
39.0,56041.52,642.0,5912.89,20.1,Bachelor,Employed,Married,Rent,2024-07-08,0
22.0,48547.61,396.0,5627.77,26.1,Master,Employed,Single,Rent,2023-11-08,1
79.0,63122.52,787.0,28263.83,12.7,High School,Employed,Divorced,Own,2025-01-28,0
64.0,42887.82,791.0,8566.3,23.2,PhD,Employed,Single,Own,2024-05-14,1
56.0,70585.67,541.0,23689.49,14.3,Bachelor,Employed,Married,Rent,2023-01-01,1
28.0,44495.4,726.0,10261.95,2.4,Master,Self-Employed,Married,Rent,2023-11-13,1
68.0,57551.44,319.0,16620.93,2.4,Master,Retired,Single,Own,2024-12-14,1
39.0,36060.02,819.0,2633.78,20.9,Bachelor,Self-Employed,Married,Own,2024-07-05,1
76.0,57924.88,807.0,15166.58,22.3,Master,Employed,Divorced,Rent,2025-03-14,0
29.0,67049.07,632.0,5271.91,14.5,Bachelor,Employed,Divorced,Rent,2024-06-20,1
26.0,38219.7,425.0,9082.64,20.5,High School,Employed,Single,Rent,2025-01-15,1
22.0,20387.94,740.0,20371.95,8.3,PhD,Employed,Divorced,Rent,2025-04-25,0
18.0,53752.86,354.0,2914.41,15.3,Bachelor,Employed,Single,Other,2023-06-22,1
77.0,,,17325.15,6.3,Bachelor,Employed,Single,Mortgage,2023-05-06,1
62.0,43126.75,740.0,3188.85,29.8,High School,Employed,Married,Own,2025-09-16,0
24.0,60943.14,441.0,1186.49,16.2,Bachelor,Employed,Divorced,Rent,2024-02-28,1
33.0,53712.47,326.0,20826.92,32.6,PhD,Employed,Single,Rent,2025-03-19,1
33.0,66253.77,832.0,14852.43,12.3,Bachelor,Employed,Married,Other,2025-06-30,1
23.0,56003.28,534.0,10090.74,16.8,High School,Retired,Married,Own,2023-04-01,0
70.0,70614.64,332.0,3478.23,4.9,PhD,Employed,Divorced,Rent,2025-08-05,1
72.0,71487.23,705.0,1620.5,7.9,Bachelor,Employed,Married,Mortgage,2023-07-01,1
56.0,41543.5,342.0,748.43,5.6,Bachelor,Retired,Married,Own,2023-10-02,0
75.0,42042.39,327.0,6456.68,8.7,Bachelor,Employed,Married,Own,2025-06-22,1
43.0,,,15344.27,3.1,PhD,Employed,Married,Rent,2023-03-11,1
50.0,21789.62,593.0,1088.35,25.5,Master,Employed,Married,Own,2023-10-19,0
18.0,57418.5,704.0,9009.16,38.7,High School,Employed,Single,Mortgage,2023-05-12,1
23.0,53464.16,513.0,9300.92,0.9,Master,Employed,Married,Own,2023-10-28,1
71.0,43818.91,470.0,10541.62,25.2,High School,Self-Employed,Married,Other,2025-07-21,0
20.0,38085.46,371.0,1912.59,0.1,High School,Self-Employed,Single,Own,2023-11-23,1
52.0,79955.12,717.0,17417.58,15.9,High School,Employed,Married,Mortgage,2023-05-25,0
67.0,50954.27,705.0,3968.31,31.6,Master,Employed,Married,Mortgage,2024-05-12,0
33.0,73064.17,408.0,27873.17,6.8,Master,Employed,Married,Mortgage,2024-11-08,1
45.0,39363.1,311.0,9095.45,15.9,PhD,Employed,Married,Own,2025-08-08,0
41.0,53989.33,411.0,3499.01,2.0,Bachelor,Employed,Single,Own,2023-05-16,0
53.0,55700.71,657.0,1690.95,7.2,High School,Employed,Married,Rent,2025-02-20,1
41.0,59801.0,319.0,3711.86,27.9,Master,Employed,Married,Mortgage,2023-06-14,0
77.0,67244.35,510.0,19948.18,20.9,PhD,Employed,Married,Mortgage,2023-01-29,0
58.0,64258.07,803.0,6081.06,26.9,Bachelor,Employed,Single,Mortgage,2025-08-18,0
49.0,43620.18,780.0,10001.06,27.6,Master,Employed,Single,Rent,2023-07-13,0
53.0,56379.94,755.0,11335.57,5.5,High School,Employed,Married,Own,2025-08-19,0
79.0,73703.49,729.0,7219.6,18.0,Bachelor,Self-Employed,Married,Mortgage,2024-10-05,0
39.0,62373.5,825.0,9406.63,32.8,High School,Self-Employed,Single,Mortgage,2023-06-19,1
73.0,38566.38,389.0,50.39,28.2,High School,Self-Employed,Divorced,Rent,2025-09-12,1
28.0,63228.95,613.0,488.13,3.7,Bachelor,Employed,Married,Own,2023-05-21,0
52.0,62086.03,799.0,3166.83,24.8,Bachelor,Retired,Divorced,Rent,2023-06-23,1
78.0,55136.85,766.0,12909.16,29.2,Bachelor,Employed,Single,Mortgage,2023-01-07,0
66.0,26953.22,758.0,9551.71,3.3,PhD,Employed,Married,Own,2025-06-15,1
78.0,46989.31,723.0,2381.23,30.8,Master,Employed,Single,Own,2024-04-26,0
45.0,45692.9,734.0,471.51,2.1,PhD,Self-Employed,Married,Mortgage,2023-03-15,1
67.0,51727.28,410.0,4766.3,13.0,Master,Unemployed,Single,Mortgage,2024-11-20,0
33.0,61131.27,534.0,10861.42,24.4,Master,Employed,Single,Rent,2024-08-06,1
18.0,49017.84,699.0,3693.76,2.0,Bachelor,Employed,Divorced,Rent,2023-08-27,1
52.0,79759.88,736.0,7249.67,17.8,High School,Employed,Married,Own,2023-05-26,1
52.0,55922.39,773.0,12264.76,12.4,Bachelor,Self-Employed,Married,Rent,2025-03-10,1
42.0,36271.38,519.0,12248.33,10.4,High School,Employed,Married,Own,2023-08-23,1
74.0,40960.28,373.0,3739.43,22.6,Master,Unemployed,Single,Rent,2023-08-09,1
77.0,40930.58,600.0,10068.7,36.3,Bachelor,Employed,Married,Mortgage,2024-04-23,1
43.0,50957.84,527.0,6031.44,29.2,Master,Employed,Divorced,Mortgage,2024-12-19,0
42.0,59608.73,601.0,333.6,10.5,Bachelor,Retired,Single,Rent,2023-05-13,1
42.0,,489.0,21333.78,5.4,,Self-Employed,Single,Mortgage,2024-06-05,1
27.0,29180.81,828.0,2099.72,9.3,High School,Employed,Married,Other,2025-09-11,1
26.0,57689.07,613.0,208.88,19.9,High School,Employed,Married,Own,2023-07-05,0
45.0,58022.14,667.0,30580.34,9.1,Master,Employed,Married,Rent,2023-02-11,1
57.0,75284.72,739.0,2549.46,15.0,Bachelor,Unemployed,Single,Mortgage,2024-09-08,1
31.0,56023.41,318.0,2596.71,27.3,Bachelor,Retired,Widowed,Mortgage,2023-04-19,1
75.0,29219.42,576.0,3665.88,8.0,Bachelor,Unemployed,Married,Rent,2024-08-17,0
68.0,74176.89,787.0,34128.45,31.3,High School,Employed,Divorced,Other,2023-02-26,0
71.0,70217.84,526.0,5436.75,35.8,Bachelor,Retired,Married,Rent,2024-02-13,0
38.0,36752.64,764.0,4676.39,31.2,High School,Self-Employed,Divorced,Own,2024-03-21,0
77.0,29880.88,749.0,4671.93,24.1,Master,Employed,Married,Rent,2024-07-21,1
71.0,29641.17,322.0,8514.94,21.8,Bachelor,Employed,Divorced,Own,2025-05-18,0
61.0,41551.12,665.0,7915.53,0.6,High School,Self-Employed,Married,Other,2023-01-25,1
37.0,68452.42,742.0,115.59,3.2,PhD,Employed,Divorced,Mortgage,2024-02-25,0
64.0,50754.6,675.0,23388.18,19.7,High School,Retired,Single,Own,2024-03-25,1
31.0,70743.57,793.0,134.58,1.7,High School,Employed,Divorced,Mortgage,2024-06-19,1
76.0,45941.0,683.0,1815.48,10.2,Master,Employed,Divorced,Own,2025-02-17,0
27.0,74899.21,668.0,3624.49,11.4,High School,Self-Employed,Single,Own,2024-10-22,0
33.0,59862.79,677.0,8129.59,5.3,High School,Employed,Married,Own,2025-07-23,0
69.0,38605.41,785.0,4871.31,4.9,PhD,Employed,Single,Mortgage,2023-12-05,1
72.0,29426.16,677.0,13172.26,22.5,Bachelor,Employed,Married,Mortgage,2023-02-21,1
52.0,54394.9,828.0,2283.65,30.8,High School,Self-Employed,Married,Other,2024-12-16,0
52.0,52845.81,348.0,2509.01,16.6,Bachelor,Unemployed,Married,Mortgage,2024-06-03,0
48.0,64261.94,316.0,9435.87,14.0,Master,Unemployed,Single,Rent,2025-07-17,1
22.0,66968.79,675.0,9943.6,36.7,High School,Employed,Single,Rent,2024-09-30,1
41.0,43279.59,683.0,5304.43,9.9,High School,Employed,Married,Own,2023-09-22,1
51.0,67488.71,631.0,428.92,21.2,Bachelor,Self-Employed,Widowed,Own,2024-06-25,1
34.0,51377.09,603.0,8668.49,0.4,High School,Employed,Divorced,Own,2024-12-18,1
29.0,58816.44,782.0,20280.7,33.8,Bachelor,Retired,Single,Mortgage,2024-11-19,0
36.0,48654.57,522.0,5676.84,30.1,Master,Retired,Widowed,Mortgage,2024-08-12,1
41.0,32218.7,435.0,13142.21,7.9,Bachelor,Self-Employed,Single,Own,2024-06-06,1
50.0,53652.44,388.0,808.21,31.9,High School,Self-Employed,Married,Mortgage,2024-03-26,1
41.0,54997.6,707.0,4373.7,25.3,High School,Unemployed,Married,Mortgage,2023-01-19,0
27.0,39188.14,706.0,252.83,16.4,High School,Employed,Married,Rent,2024-12-23,0
20.0,58266.02,325.0,4089.82,37.0,PhD,Employed,Single,Rent,2024-05-01,0
21.0,56669.83,839.0,8699.2,0.4,Master,Employed,Married,Own,2024-07-26,1
55.0,,,2942.13,29.5,Bachelor,Employed,Married,Own,2024-03-12,1
65.0,,733.0,24249.93,34.5,High School,Employed,Married,Own,2024-01-03,1
34.0,50534.53,696.0,23165.13,30.5,Bachelor,Unemployed,Married,Rent,2023-03-25,0
35.0,46470.22,587.0,2640.17,20.9,Bachelor,Retired,Single,Own,2023-03-03,1
71.0,56818.45,674.0,17609.4,10.3,Bachelor,Employed,Divorced,Rent,2024-03-16,1
29.0,86447.72,653.0,4056.59,35.0,Bachelor,Employed,Married,Own,2023-09-30,0
19.0,17385.15,365.0,3934.19,20.2,Master,Employed,Divorced,Mortgage,2023-10-13,1
65.0,53457.31,681.0,7915.89,6.6,Master,Employed,Married,Mortgage,2023-12-27,0
59.0,43719.43,805.0,19755.83,19.7,Bachelor,Employed,Single,Other,2023-12-21,0
56.0,36676.84,421.0,17524.54,27.2,Bachelor,Self-Employed,Single,Mortgage,2024-10-14,1
54.0,41484.21,793.0,15364.75,26.3,Master,Employed,Married,Mortgage,2023-10-06,0
28.0,40335.87,499.0,6877.86,19.4,Bachelor,Employed,Married,Own,2023-01-13,1
31.0,68220.83,408.0,4791.49,2.6,High School,Employed,Married,Own,2023-07-02,1
79.0,54466.4,510.0,299.48,6.0,High School,Employed,Single,Mortgage,2024-01-04,1
63.0,59569.6,647.0,14007.77,14.8,Bachelor,Employed,Divorced,Mortgage,2024-05-10,0
78.0,43639.42,447.0,10633.68,9.8,Master,Self-Employed,Married,Own,2024-09-13,1
45.0,42569.16,559.0,4897.77,21.4,Bachelor,Retired,Married,Rent,2023-08-12,0
56.0,69879.04,620.0,41499.31,29.4,High School,Unemployed,Divorced,Mortgage,2025-03-21,1
61.0,42834.8,566.0,25908.96,7.2,High School,Self-Employed,Single,Other,2024-12-06,0
43.0,49375.68,513.0,39340.42,20.0,Bachelor,Employed,Single,Rent,2024-05-21,1
79.0,41499.96,549.0,7202.48,14.9,Bachelor,Employed,Widowed,Rent,2024-07-03,0
47.0,27912.37,426.0,9299.12,18.4,Bachelor,Self-Employed,Single,Own,2024-08-11,1
53.0,64151.96,312.0,9016.06,10.2,High School,Employed,Divorced,Mortgage,2025-01-07,0
31.0,22086.35,458.0,76928.4,39.9,Bachelor,Employed,Married,Mortgage,2023-06-26,0
78.0,62037.06,413.0,2623.97,28.0,Bachelor,Employed,Divorced,Rent,2025-01-10,1
39.0,38605.72,503.0,6236.03,20.8,High School,Self-Employed,Divorced,Rent,2024-09-25,1
73.0,40089.39,707.0,19145.03,33.4,PhD,Employed,Married,Rent,2024-08-14,1
34.0,67751.21,578.0,14885.6,36.2,Bachelor,Self-Employed,Single,Own,2024-08-13,0
55.0,65429.64,365.0,16080.33,37.0,Master,Self-Employed,Married,Rent,2024-01-29,0
79.0,56880.65,356.0,2121.03,28.5,Master,Retired,Divorced,Own,2023-06-13,1
23.0,39225.45,698.0,9809.07,27.8,Master,Employed,Married,Rent,2023-09-06,0
30.0,41948.92,545.0,559.26,35.6,High School,Self-Employed,Widowed,Rent,2024-12-08,1
79.0,50372.79,827.0,64.56,32.1,Bachelor,Self-Employed,Married,Own,2025-06-12,0
62.0,25606.73,653.0,7166.94,4.6,Bachelor,Employed,Married,Mortgage,2024-11-06,0
26.0,44737.02,430.0,2425.1,12.3,Bachelor,Unemployed,Single,Own,2024-01-11,1
58.0,65283.3,700.0,2245.18,32.5,PhD,Employed,Divorced,Own,2024-02-17,1
64.0,44380.08,412.0,16506.73,22.3,Master,Retired,Married,Own,2023-03-16,1
57.0,32962.02,666.0,5645.44,36.0,Master,Self-Employed,Divorced,Own,2023-04-24,1
64.0,48215.03,595.0,14208.94,35.0,Master,Self-Employed,Single,Own,2024-08-01,0
29.0,50735.8,455.0,4555.26,36.5,High School,Self-Employed,Married,Own,2025-07-27,0
66.0,62565.46,572.0,14729.1,5.1,Master,Employed,Married,Mortgage,2024-01-26,1
48.0,70146.48,577.0,36640.79,1.8,Master,Self-Employed,Married,Own,2023-04-15,1
38.0,53389.96,580.0,12699.7,38.5,Bachelor,Self-Employed,Single,Own,2023-04-25,1
31.0,21432.32,550.0,2357.59,15.6,High School,Employed,Single,Mortgage,2024-02-22,1
45.0,51373.79,593.0,14199.23,17.6,Bachelor,Self-Employed,Married,Rent,2024-08-16,1
52.0,42444.43,426.0,6196.06,11.1,Bachelor,Employed,Married,Other,2024-04-02,1
52.0,69461.09,612.0,6933.07,32.9,High School,Self-Employed,Single,Mortgage,2024-02-14,0
59.0,,833.0,331.62,37.5,,Self-Employed,Married,Mortgage,2023-04-03,1
61.0,28608.12,565.0,9996.42,32.1,High School,Employed,Single,Rent,2024-07-22,1
79.0,53787.2,555.0,6569.1,3.1,PhD,Employed,Single,Own,2023-03-31,1
49.0,70201.19,582.0,518.08,26.0,Master,Employed,Married,Own,2023-12-03,1
64.0,47032.93,755.0,12627.35,25.0,Bachelor,Self-Employed,Single,Own,2025-09-25,1
18.0,-826.42,481.0,2229.45,34.5,Master,Employed,Single,Own,2025-07-18,1
33.0,26560.18,801.0,5640.72,10.2,Master,Unemployed,Married,Rent,2025-07-30,0
49.0,46921.18,659.0,5640.28,33.0,High School,Unemployed,Single,Mortgage,2024-09-03,0
70.0,45889.52,674.0,2050.25,37.4,Bachelor,Employed,Married,Rent,2024-08-22,0
62.0,43095.57,306.0,7523.12,25.0,High School,Self-Employed,Divorced,Other,2024-09-09,1
71.0,32453.47,840.0,5876.44,10.0,Bachelor,Self-Employed,Married,Mortgage,2023-04-05,0
40.0,59015.81,307.0,26679.66,6.9,Bachelor,Employed,Married,Rent,2023-01-12,0
79.0,51552.17,455.0,24681.34,12.7,Bachelor,Employed,Married,Rent,2024-02-01,1
36.0,40566.07,822.0,7341.23,36.5,High School,Self-Employed,Married,Other,2025-05-23,1
33.0,53414.03,636.0,2473.31,31.3,Master,Employed,Single,Mortgage,2023-02-13,1
77.0,78588.61,519.0,7392.74,35.8,Bachelor,Self-Employed,Single,Other,2023-02-12,1
76.0,31997.45,509.0,9474.15,0.7,Bachelor,Employed,Married,Other,2023-11-26,1
61.0,59121.71,815.0,5377.58,8.4,High School,Unemployed,Married,Own,2023-06-17,1
39.0,43032.4,493.0,223.9,13.8,High School,Employed,Married,Mortgage,2024-05-15,1
45.0,38700.53,795.0,2225.25,0.2,High School,Retired,Divorced,Other,2025-06-03,1
29.0,72855.26,663.0,12886.03,9.9,PhD,Employed,Single,Own,2024-08-26,1
45.0,31427.56,330.0,8914.71,31.3,PhD,Self-Employed,Single,Own,2025-06-11,1
27.0,26592.41,706.0,5371.76,9.0,Bachelor,Unemployed,Divorced,Rent,2023-04-11,0
50.0,53842.42,841.0,28565.15,35.7,Bachelor,Employed,Widowed,Other,2024-03-02,1
18.0,60302.48,359.0,2490.88,18.4,Master,Employed,Single,Mortgage,2023-06-28,1
51.0,46323.96,736.0,10002.61,3.7,PhD,Employed,Divorced,Rent,2024-03-20,1
50.0,71662.6,414.0,287.2,9.0,Master,Employed,Married,Rent,2024-02-21,0
53.0,29554.41,424.0,23340.11,6.6,Bachelor,Employed,Married,Mortgage,2024-10-15,0
20.0,54470.78,696.0,25839.2,34.9,High School,Self-Employed,Divorced,Own,2025-06-09,1
51.0,39444.54,799.0,18916.62,13.2,High School,Employed,Married,Mortgage,2024-10-26,0
20.0,64954.1,487.0,5204.57,7.6,High School,Retired,Married,Rent,2023-06-27,1
37.0,44262.75,547.0,20039.14,20.0,High School,Self-Employed,Married,Mortgage,2024-01-31,1
66.0,21219.88,599.0,10170.02,4.5,Bachelor,Employed,Single,Rent,2024-11-13,0
42.0,36567.36,483.0,1695.8,10.6,High School,Employed,Married,Other,2025-03-12,1
45.0,56273.1,504.0,932.01,0.1,Bachelor,Employed,Single,Mortgage,2025-08-28,1
22.0,64028.57,442.0,3187.6,30.1,High School,Employed,Divorced,Own,2025-09-07,1
41.0,40116.52,340.0,3331.05,13.0,PhD,Employed,Married,Own,2024-01-19,1
50.0,55705.38,788.0,3259.09,29.9,Bachelor,Employed,Single,Rent,2025-08-24,0
70.0,,495.0,17482.27,0.5,,Employed,Married,Mortgage,2024-09-10,0
61.0,66944.74,464.0,9888.44,16.3,Bachelor,Self-Employed,Divorced,Mortgage,2023-09-15,1
37.0,58093.59,558.0,4676.94,10.0,High School,Employed,Single,Own,2023-12-02,1
70.0,40261.29,342.0,5372.42,38.0,Master,Employed,Married,Other,2023-01-16,1
46.0,28820.59,330.0,5365.55,8.1,High School,Self-Employed,Married,Own,2024-09-27,0
33.0,75521.44,463.0,2870.48,30.6,Bachelor,Employed,Single,Own,2023-11-21,1
40.0,54681.19,300.0,22246.35,14.5,Bachelor,Unemployed,Married,Rent,2025-02-04,0
23.0,40588.72,655.0,7065.82,2.5,PhD,Employed,Married,Rent,2023-08-11,1
22.0,14906.1,618.0,14375.16,17.2,High School,Employed,Married,Rent,2023-06-29,0
50.0,68088.9,806.0,28392.91,36.7,Bachelor,Self-Employed,Divorced,Rent,2025-09-20,1
42.0,,489.0,21333.78,5.4,,Self-Employed,Single,Mortgage,2024-06-05,1
19.0,42231.32,576.0,26403.02,1.8,PhD,Employed,Divorced,Mortgage,2023-01-23,1
24.0,55573.91,836.0,7189.29,32.2,Master,Employed,Married,Other,2023-12-23,1
33.0,41710.58,640.0,5147.25,24.7,High School,Employed,Divorced,Mortgage,2024-11-10,0
56.0,47163.78,534.0,4119.6,37.0,Bachelor,Employed,Widowed,Mortgage,2025-05-19,1
50.0,48965.29,428.0,7808.64,4.5,Master,Employed,Widowed,Rent,2023-12-07,0
39.0,41671.64,453.0,16390.96,19.6,Bachelor,Employed,Widowed,Rent,2024-03-07,0
69.0,41498.07,410.0,6510.39,13.3,Bachelor,Employed,Married,Own,2025-03-13,0
67.0,39636.79,311.0,17029.59,25.3,Bachelor,Employed,Divorced,Rent,2025-04-21,1
56.0,52733.61,346.0,1034.01,12.2,High School,Self-Employed,Single,Mortgage,2023-07-23,1
31.0,57234.08,687.0,21934.09,10.3,Bachelor,Employed,Single,Mortgage,2024-09-28,1
21.0,59765.98,765.0,594.35,12.5,Master,Employed,Married,Rent,2023-04-04,0
70.0,57155.06,750.0,31.46,32.3,Bachelor,Employed,Married,Own,2025-03-17,1
26.0,46462.1,787.0,18042.85,29.8,Master,Self-Employed,Divorced,Mortgage,2023-03-10,0
29.0,30331.68,425.0,15450.95,7.8,Bachelor,Retired,Single,Own,2024-09-20,1
19.0,68333.05,356.0,46420.19,17.8,High School,Employed,Married,Mortgage,2023-10-12,0
25.0,61839.73,526.0,3480.68,17.8,Bachelor,Employed,Divorced,Mortgage,2025-06-04,0
63.0,37909.55,574.0,5857.4,27.8,High School,Employed,Married,Own,2024-03-10,1
45.0,,,8926.5,20.0,Master,Employed,Married,Mortgage,2023-06-03,0
77.0,37719.85,421.0,1958.79,6.2,Bachelor,Employed,Single,Mortgage,2023-03-17,0
53.0,64151.96,312.0,9016.06,10.2,High School,Employed,Divorced,Mortgage,2025-01-07,0
47.0,40271.72,585.0,3167.66,26.9,High School,Employed,Single,Mortgage,2024-03-22,1
43.0,57193.71,731.0,3131.32,5.2,High School,Unemployed,Married,Other,2023-07-08,1
69.0,34990.7,588.0,876.51,25.9,Master,Employed,Married,Rent,2023-09-29,1
79.0,,,7781.27,3.6,Master,Self-Employed,Divorced,Own,2023-08-25,1
35.0,50583.16,705.0,13838.59,39.0,High School,Employed,Married,Other,2024-05-02,1
35.0,,410.0,3950.27,21.3,Bachelor,Employed,Married,Own,2023-04-28,0
64.0,32868.1,783.0,159.5,27.2,Bachelor,Unemployed,Single,Rent,2025-04-06,1
71.0,38268.56,748.0,30249.97,39.4,High School,Employed,Divorced,Own,2024-05-27,1
59.0,88460.87,719.0,9375.37,31.7,High School,Employed,Married,Other,2024-07-11,1
54.0,58287.86,719.0,4881.06,2.7,High School,Employed,Married,Mortgage,2024-08-20,1
62.0,58495.1,782.0,21972.11,8.8,PhD,Self-Employed,Married,Rent,2023-05-07,0
62.0,49831.59,528.0,5577.46,30.0,PhD,Unemployed,Married,Rent,2023-04-27,1
66.0,60253.79,334.0,4234.71,39.1,Bachelor,Unemployed,Married,Rent,2024-04-18,0
26.0,34109.22,494.0,15822.16,26.4,Bachelor,Employed,Single,Mortgage,2025-08-23,1
24.0,37805.67,673.0,4988.87,9.6,High School,Employed,Widowed,Rent,2023-02-27,0
72.0,56497.17,682.0,4952.7,8.3,Master,Employed,Married,Rent,2024-11-11,0
37.0,39167.28,343.0,2427.1,36.9,Bachelor,Employed,Married,Rent,2025-07-09,1
29.0,24206.88,676.0,4400.12,34.1,High School,Self-Employed,Married,Own,2024-01-05,1
79.0,54546.58,477.0,9301.48,12.5,Master,Self-Employed,Single,Rent,2023-09-26,1
79.0,56911.06,628.0,1937.01,34.5,Bachelor,Self-Employed,Single,Rent,2023-02-16,0
42.0,30008.83,832.0,13579.98,33.7,Bachelor,Self-Employed,Single,Rent,2023-12-16,1
66.0,77614.15,412.0,8211.89,32.2,Master,Self-Employed,Single,Other,2023-07-15,0
18.0,46797.91,312.0,21160.77,18.6,Bachelor,Employed,Divorced,Mortgage,2023-05-17,0
44.0,75084.19,589.0,7136.53,29.0,PhD,Self-Employed,Single,Mortgage,2025-04-22,0
27.0,42384.8,648.0,2827.42,16.5,Bachelor,Employed,Single,Other,2025-01-13,0
49.0,45055.74,670.0,2124.85,32.1,High School,Retired,Married,Own,2023-09-21,1
44.0,59549.47,419.0,15434.52,39.8,PhD,Retired,Married,Rent,2024-03-19,1
74.0,83756.82,530.0,5829.42,0.8,Master,Employed,Married,Rent,2025-03-20,1
72.0,,,7976.33,4.0,Bachelor,Employed,Single,Mortgage,2023-11-01,1
57.0,11326.77,819.0,28076.19,39.9,Bachelor,Employed,Married,Own,2023-12-08,0
70.0,55579.4,750.0,13694.51,34.7,High School,Self-Employed,Widowed,Mortgage,2024-08-27,0
78.0,76238.62,403.0,2212.59,22.2,Master,Self-Employed,Single,Mortgage,2025-09-03,0
59.0,40933.78,510.0,26737.93,37.7,High School,Employed,Married,Own,2023-05-30,1
77.0,76927.47,748.0,14401.52,36.3,Bachelor,Employed,Married,Mortgage,2023-05-05,1
36.0,52452.16,461.0,14997.02,23.2,High School,Employed,Married,Mortgage,2025-03-04,1
75.0,87020.78,477.0,8200.24,3.3,Bachelor,Employed,Married,Rent,2025-04-10,1
61.0,55633.82,516.0,17683.85,29.9,High School,Self-Employed,Single,Rent,2023-02-20,1
47.0,67145.99,401.0,16460.46,29.0,Bachelor,Employed,Widowed,Own,2023-12-20,0
40.0,52130.76,487.0,19413.74,39.1,PhD,Employed,Married,Mortgage,2025-07-24,1
34.0,38780.45,508.0,14868.05,1.7,Master,Self-Employed,Married,Rent,2023-05-23,0
54.0,48693.37,500.0,15579.48,23.9,High School,Self-Employed,Married,Other,2024-04-15,1
79.0,45807.51,500.0,15482.17,11.5,High School,Retired,Single,Own,2024-02-04,1
68.0,96410.74,691.0,1632.35,1.0,Master,Employed,Married,Own,2024-09-23,0
26.0,49701.65,307.0,5990.86,5.4,High School,Self-Employed,Married,Rent,2023-11-17,1
20.0,46131.47,782.0,29773.27,23.3,Bachelor,Employed,Single,Mortgage,2023-01-20,1
